Country,Year,manuf_pib,ind_pib,manuf_exp,hitech_exp_wdi,pesq_pm,rd_pct_wdi,deflator,artigos_se_nsf
France,2019,9.91095000638926,16.907003960354,80.5034599709211,26.9265976407414,4773.97249,2.19668,97.1081402840986,66167.74
France,2020,9.24566710385932,16.272651205236,79.2210459691173,21.1920405248012,4883.2219,2.2742,100,65600.63
France,2021,9.09582515832787,16.0877289574672,78.3001810433008,22.305003085565,5058.05374,2.21278,101.221816140734,67690.4
Greece,2013,7.78048722385766,15.064315279116,30.94070080051,8.47893188139786,2655.47213,0.82288,102.798300595601,11564.91
Greece,2014,7.79323131183445,14.144282569928,32.5296898213842,11.5060312558605,2733.92303,0.84553,100.821001437819,11308.55
Greece,2015,8.2939794133625,14.4406143927451,36.3880330713537,12.9218253082768,3196.52298,0.9716,100.64481297452,11079.51
Greece,2016,8.1077472947053,14.3053359941807,37.1171045120441,13.7270081175833,2726.60076,1.00556,100.151692497107,10988.04
Greece,2017,8.01771265830777,13.5438938901132,35.5452261667004,12.1148895809545,3250.61522,1.1492,100.355614895143,10931.52
Greece,2018,8.18182062799694,13.6804076386379,34.3141237759414,12.9551889486437,3416.08087,1.2066,100.119979458447,11031.66
Greece,2019,7.83958999296986,13.4139572418293,37.5045090570401,12.5222555558252,3644.60084,1.26236,100.36528920845,11389.86
Greece,2020,8.42728042228222,14.2956021874194,43.1789891422737,13.2518669714424,4008.18457,1.48872,100,12102.88
Greece,2021,8.66558957724326,14.7711977789358,38.7775709491228,12.2848681524393,4244.36826,1.43353,101.39275644674,13776.67
Hungary,2013,18.7073217770592,25.0561210392632,81.8974246847191,19.3691523112004,2527.84945,1.38449,76.1309851147943,6153.78
Hungary,2014,19.4234614005581,25.6873886769853,83.4910804693238,16.6901975118435,2654.79529,1.3437,78.9403106632317,6494
Hungary,2015,20.2076761720927,26.3916783181703,85.6088130930811,17.08325844517,2569.66887,1.33884,81.1594474322558,6389.48
Hungary,2016,19.5575596990539,25.4486066021034,87.7871002783065,17.5764530213374,2625.94197,1.17645,82.2328217670034,6351.5
Hungary,2017,19.1033927278036,25.1587549896178,86.7735561991614,17.2630732776764,2902.24254,1.31498,85.5528015079503,6645.92
Hungary,2018,18.4028423209229,24.9697501840475,86.572548175088,16.8209858629646,3846.48666,1.50196,89.6981632218737,6658.99
Hungary,2019,17.3261619988245,24.6337376234071,86.8597067417349,17.3787600622128,4021.15293,1.46473,93.9614599919338,7035.03
Hungary,2020,17.2739907825324,24.3596848911298,86.8451661867215,17.4648807221778,4309.61589,1.58067,100,7350.5
Hungary,2021,16.5270428077403,23.8976973303284,85.7112500492847,16.3975126429279,4452.48668,1.63327,106.166948922961,7822.44
India,2013,15.253022692586,28.4048995600246,60.0804931317347,8.87350364988968,,0.70642,70.9363464075585,80194.85
India,2014,15.0655701107589,27.6564012026443,62.6143035432105,9.22122174793918,,0.70158,73.2997730356476,88315.77
India,2015,15.5838545863713,27.34739147794,68.7631584732676,8.02476917234515,214.34935,0.6931,74.9707059453487,94793.78
India,2016,15.1622371332529,26.6189999399789,71.5142380206267,7.66325704378624,,0.66984,77.3982386243201,104739.74
India,2017,15.0182387501718,26.5000166464804,69.6987012211939,7.36208114076572,,0.66603,80.4703743512893,115044.77
India,2018,14.8815306673017,26.4120919013735,69.268260401525,9.04145168835151,250.00794,0.66001,83.5960370388638,123052.68
India,2019,13.4558075633394,24.5914753075066,71.0205379047355,10.2237396907979,,0.65942,85.6069540558026,128579.54
India,2020,14.1204853576923,25.1229058078344,71.0145843098347,11.0325638466576,259.26325,0.64558,89.7288072623215,145711.12
India,2021,14.3770288531286,26.466523606501,68.0733689919056,10.2125596625118,,,97.2255663027036,173096.47
Indonesia,2013,21.0286886817218,42.6356774375889,37.1804571056594,9.67606262852233,,0.0847,117.03716759416,2652.31
