modelo,DMU,original,rDEA_theta_bc,boot_bc,ic_inf,ic_sup,vies_phi
T,Austria-2019,0.0083,0.004,0.0063,0.0053,0.0074,-38.0628
T,Austria-2020,0.0153,0.0064,0.0115,0.0097,0.0139,-21.934
T,Austria-2021,0.0084,0.0017,0.006,0.0051,0.0075,-48.1561
T,Belgium-2013,0.0079,0.0014,0.0055,0.0049,0.0066,-54.4225
T,Belgium-2016,0.0035,0.0017,0.0027,0.0022,0.0031,-88.5023
T,Belgium-2017,0.001,-3e-4,6e-4,5e-4,8e-4,-517.4217
T,Belgium-2018,0.0203,0.01,0.0154,0.0132,0.0179,-15.6662
T,Brazil-2013,0.4817,-0.2986,0.3024,0.275,0.3589,-1.2303
T,Brazil-2014,0.115,0.0081,0.0786,0.0696,0.0941,-4.0253
T,Brazil-2015,0.0535,0.0228,0.0401,0.0336,0.0475,-6.2755
T,Brazil-2016,0.3637,-0.0024,0.2456,0.2185,0.2944,-1.3217
T,Brazil-2017,0.0882,0.0399,0.0666,0.0561,0.0788,-3.6902
T,Brazil-2018,0.1019,0.0386,0.0755,0.0634,0.0915,-3.4409
T,Brazil-2019,0.0535,0.0065,0.0375,0.0321,0.0475,-8.0047
T,Brazil-2020,0.0374,-0.0052,0.0251,0.0215,0.0316,-13.0731
T,Bulgaria-2018,0.112,0.0349,0.0814,0.0689,0.0979,-3.3564
T,Bulgaria-2019,0.1327,0.0294,0.0936,0.0824,0.111,-3.1509
T,Bulgaria-2021,0.061,-0.0031,0.0411,0.0365,0.0495,-7.9701
T,Chile-2014,0.0071,0.0024,0.0052,0.0044,0.0064,-51.2289
T,Chile-2015,0.1913,-0.2762,0.1254,0.1065,0.1787,-2.9965
T,Chile-2017,0.0133,0.0044,0.0097,0.0084,0.0112,-28.4995
T,Chile-2018,0.0064,0.0019,0.0047,0.0039,0.0058,-58.2991
T,Chile-2019,0.0072,0.0014,0.0051,0.0043,0.0063,-57.104
T,China-2013,1,-0.6664,0.6239,0.5673,0.7266,-0.6028
T,China-2014,0.1997,-0.0821,0.1308,0.1124,0.1709,-2.6362
T,China-2015,0.3331,-0.1268,0.219,0.1879,0.286,-1.565
T,China-2016,0.208,-0.2959,0.1274,0.1114,0.173,-3.0392
T,China-2017,0.4295,-0.5431,0.2656,0.2314,0.3579,-1.4364
T,China-2018,0.4936,-0.9058,0.2967,0.2617,0.4026,-1.3445
T,China-2019,0.8508,-1.513,0.5134,0.4508,0.7008,-0.7723
T,China-2020,1,-2.2245,0.5919,0.527,0.7733,-0.6896
T,China-2021,1,-2.3521,0.5881,0.5256,0.7392,-0.7005
T,Colombia-2015,0.0956,-0.1229,0.0653,0.055,0.0928,-5.6277
T,Colombia-2017,0.0694,-0.0129,0.046,0.0409,0.058,-7.3584
T,Colombia-2019,0.0324,0.0122,0.0237,0.0206,0.0281,-11.3317
T,Croatia-2015,0.0977,-0.2268,0.0581,0.0511,0.0786,-6.9577
T,Croatia-2018,0.0429,0.0094,0.0304,0.0263,0.0364,-9.623
T,Croatia-2019,0.0288,0.007,0.0204,0.0179,0.0236,-14.3154
T,France-2013,0.0425,-8e-4,0.0286,0.0253,0.0334,-11.4161
T,France-2014,0.0035,-0.0021,0.0023,0.002,0.0029,-159.9995
T,France-2015,0.0124,0.0026,0.0089,0.0075,0.011,-32.3923
T,France-2016,0.0123,-7e-4,0.0084,0.0072,0.0111,-37.6701
T,France-2017,0.0122,-0.0047,0.008,0.0069,0.0107,-43.3204
T,France-2018,0.0218,-0.0097,0.0142,0.0122,0.0191,-24.6658
T,Greece-2014,0.0033,0.0012,0.0024,0.002,0.003,-107.9447
T,Greece-2015,0.0956,-0.0963,0.0612,0.0511,0.0838,-5.8766
T,Greece-2016,0.0366,0.0192,0.028,0.0242,0.0323,-8.3543
T,Greece-2017,0.0361,0.0068,0.0256,0.0217,0.0322,-11.4381
T,Greece-2018,0.2029,0.0385,0.1424,0.1254,0.1681,-2.0947
T,Greece-2019,0.0285,0.0152,0.0219,0.019,0.0253,-10.6167
T,Greece-2020,0.0337,0.0186,0.0261,0.0224,0.0299,-8.6893
T,Greece-2021,0.0191,0.0067,0.014,0.0119,0.017,-19.119
T,Hungary-2013,0.0957,-0.1016,0.061,0.0511,0.0838,-5.9471
T,Hungary-2014,0.0154,0.0072,0.0116,0.0101,0.0135,-21.5896
T,Hungary-2015,0.0256,0.0089,0.0189,0.0157,0.0233,-13.9562
T,Hungary-2016,0.0472,0.0222,0.0355,0.0306,0.0411,-6.9523
T,Hungary-2017,0.1416,0.0299,0.0997,0.088,0.1169,-2.9642
T,Hungary-2018,0.0098,0.0023,0.007,0.006,0.0086,-41.0709
T,Hungary-2019,0.0369,0.0198,0.0284,0.0246,0.0328,-8.1491
T,Hungary-2020,0.0212,0.0112,0.0162,0.0141,0.0187,-14.4472
T,Hungary-2021,0.0104,0.0052,0.0079,0.0068,0.0092,-29.926
T,India-2013,0.0988,0.0506,0.0758,0.0637,0.0886,-3.0847
T,India-2014,0.0166,0.0014,0.0116,0.0098,0.0148,-26.026
T,India-2015,0.0353,-9e-4,0.0241,0.0205,0.0305,-13.0921
T,India-2016,0.0742,0.0105,0.0521,0.0445,0.0657,-5.7068
T,India-2017,0.0768,0.0047,0.0534,0.045,0.0694,-5.6974
T,India-2018,0.073,0.0035,0.0507,0.0427,0.0653,-6.0426
T,India-2019,0.0026,-4e-4,0.0018,0.0015,0.0022,-188.744
T,India-2020,0.0014,1e-4,0.001,8e-4,0.0013,-306.7824
T,Indonesia-2013,0.0301,0.0044,0.0209,0.0185,0.0244,-14.6687
T,Indonesia-2016,0.0445,0.0099,0.0314,0.0277,0.0372,-9.3469
T,Ireland-2016,0.0027,5e-4,0.0019,0.0016,0.0024,-152.1731
T,Ireland-2018,0.0026,3e-4,0.0018,0.0016,0.0023,-165.0111
T,Israel-2013,0.0073,0.0019,0.0052,0.0044,0.0065,-52.8016
T,Israel-2014,0.0052,0.0017,0.0038,0.0032,0.0047,-70.3868
T,Israel-2015,0.0067,-1e-4,0.0046,0.0039,0.0058,-68.7069
T,Israel-2016,0.0019,-1e-4,0.0013,0.0011,0.0016,-251.1389
T,Israel-2017,0.0072,-4e-4,0.0049,0.0041,0.0062,-65.2994
T,Israel-2018,0.0059,-4e-4,0.004,0.0034,0.0051,-80.0146
T,Israel-2019,0.0055,-6e-4,0.0037,0.0032,0.0047,-88.2544
T,Israel-2020,0.0056,-5e-4,0.0038,0.0032,0.0048,-85.6603
T,Israel-2021,0.0052,-3e-4,0.0035,0.003,0.0045,-90.3402
T,Italy-2013,0.0431,-9e-4,0.029,0.0258,0.0348,-11.249
T,Italy-2014,0.0188,0.0027,0.013,0.0114,0.0155,-23.5792
T,Japan-2013,0.5078,-0.1909,0.3259,0.2938,0.4007,-1.0989
T,Japan-2014,0.4318,-0.2197,0.2734,0.2476,0.3242,-1.3415
T,Japan-2015,0.3058,-0.0256,0.2053,0.1793,0.2445,-1.6018
T,Japan-2016,0.2005,-0.0162,0.1366,0.1158,0.1757,-2.3302
T,Japan-2017,0.4391,-0.0172,0.3002,0.2555,0.3768,-1.0539
T,Japan-2018,0.4996,-0.053,0.3394,0.288,0.4352,-0.9452
T,Japan-2019,0.3635,-0.137,0.239,0.2048,0.3128,-1.4334
T,Japan-2020,0.2926,-0.1661,0.1889,0.1621,0.2492,-1.8767
T,Japan-2021,0.3328,-0.0654,0.2237,0.1895,0.292,-1.4661
T,Luxembourg-2016,0.0954,-0.1714,0.0596,0.0515,0.0788,-6.5575
T,Luxembourg-2017,0.1041,-0.0194,0.0689,0.0614,0.087,-4.9086
T,Luxembourg-2018,0.1347,0.0437,0.0975,0.0841,0.1136,-2.8288
T,Luxembourg-2019,0.1759,0.0558,0.1268,0.1106,0.1462,-2.2015
T,Luxembourg-2020,0.1268,0.0483,0.0941,0.0787,0.1154,-2.7418
T,Luxembourg-2021,0.3578,0.135,0.2653,0.222,0.3254,-0.9751
T,Malaysia-2014,0.4782,-0.4348,0.3096,0.2557,0.423,-1.1389
T,Malaysia-2015,0.2277,0.0743,0.165,0.1442,0.1905,-1.6691
T,Malaysia-2016,0.193,0.0279,0.1345,0.1176,0.1619,-2.257
T,Malaysia-2018,0.0251,0.0113,0.0189,0.016,0.0225,-13.1004
T,Malaysia-2020,0.0063,0.0028,0.0047,0.004,0.0056,-52.2066
T,Mexico-2013,0.7837,-0.0231,0.5314,0.4632,0.6523,-0.6058
T,Mexico-2014,0.3911,0.052,0.2719,0.2376,0.3267,-1.1208
T,Mexico-2015,0.4266,0.172,0.314,0.2764,0.364,-0.8407
T,Mexico-2016,0.5278,0.2449,0.3956,0.3462,0.4574,-0.6331
T,Mexico-2017,0.3103,0.17,0.2401,0.204,0.2751,-0.9435
T,Mexico-2018,1,0.3854,0.7322,0.6452,0.8486,-0.3658
T,Mexico-2019,0.1534,0.0271,0.1085,0.0918,0.1345,-2.701
T,Mexico-2020,0.3592,0.1788,0.274,0.2324,0.3219,-0.8659
T,Mexico-2021,0.0112,0.0016,0.0079,0.0067,0.0098,-37.8413
T,Netherlands-2013,0.012,8e-4,0.0082,0.0073,0.0099,-38.5276
T,Netherlands-2014,0.0034,0.0012,0.0024,0.0021,0.0028,-110.6182
T,Netherlands-2015,0.0024,3e-4,0.0017,0.0014,0.0021,-174.3608
T,Netherlands-2016,0.0017,-2e-4,0.0012,0.001,0.0015,-275.609
T,Netherlands-2017,0.0015,-4e-4,0.001,8e-4,0.0012,-344.0402
T,Norway-2013,0.0144,0.0023,0.01,0.0088,0.012,-30.1297
T,Norway-2014,0.0051,0.0024,0.0039,0.0032,0.0045,-60.8941
T,Norway-2016,0.0188,0.0079,0.0139,0.0122,0.016,-18.7032
T,Norway-2017,0.0025,8e-4,0.0019,0.0015,0.0023,-142.4226
T,Norway-2018,0.0124,0.0062,0.0095,0.0078,0.011,-24.7489
T,Norway-2019,0.0031,-1e-4,0.0021,0.0018,0.0027,-150.3842
T,Peru-2018,1,-87.3965,0.5258,0.5004,0.6978,-0.9017
T,Peru-2019,0.267,-0.0025,0.1802,0.1612,0.2163,-1.8062
T,Peru-2020,0.7449,-0.0345,0.5025,0.4411,0.5924,-0.6474
T,Peru-2021,0.1104,-0.039,0.0711,0.0643,0.0822,-5.0048
T,Philippines-2018,0.0448,0.0145,0.0324,0.0285,0.0389,-8.5753
T,Poland-2013,0.1133,0.0177,0.079,0.0693,0.0937,-3.8341
T,Poland-2014,0.0697,0.0312,0.0521,0.0452,0.0605,-4.8479
T,Poland-2015,0.0495,0.0245,0.0378,0.0319,0.0443,-6.2808
T,Poland-2016,0.0745,0.0398,0.0573,0.0489,0.0652,-4.0383
T,Poland-2017,0.0232,0.0096,0.0175,0.0145,0.0208,-14.0736
T,Poland-2018,0.0771,0.0417,0.0594,0.0507,0.068,-3.8621
T,Poland-2019,0.0184,0.0073,0.0137,0.0116,0.0166,-18.5948
T,Poland-2020,0.0083,0.0018,0.006,0.0049,0.0074,-46.7589
T,Poland-2021,0.0078,0.0031,0.0058,0.0049,0.007,-43.7359
T,Portugal-2014,0.0099,0.0052,0.0076,0.0066,0.0088,-30.789
T,Portugal-2015,0.0266,0.0135,0.0203,0.0173,0.0236,-11.6372
T,Portugal-2016,0.0737,0.0403,0.0569,0.049,0.0652,-4.0013
T,Portugal-2017,0.0108,0.0025,0.0078,0.0065,0.0097,-36.692
T,Portugal-2018,0.0188,0.0031,0.0132,0.0112,0.0164,-22.2984
T,Romania-2016,0.0668,-0.0063,0.0448,0.0397,0.0567,-7.3293
T,Romania-2017,0.2379,-0.3188,0.1595,0.1347,0.2255,-2.3212
T,Romania-2018,0.2376,-0.3096,0.1611,0.1357,0.229,-2.286
