DMU,alpha_90,alpha_95,alpha_99,alpha_100,orderm_25,orderm_50,orderm_100
Israel-2014,2.2395,2.5853,2.9961,3.2319,1.9026,2.2198,2.316
Israel-2015,2.154,2.4235,2.7901,3.062,0.787,0.9087,0.9626
Israel-2016,1.9779,2.1841,2.6825,6.3381,0.813,0.9098,0.9545
Israel-2017,1.8485,2.0767,3.2999,5.521,0.7503,0.8586,0.9373
Israel-2018,1.5733,2.4759,5.9609,7.7491,0.4776,0.6675,0.8439
Israel-2019,1.2382,2.1459,5.3359,8.4245,0.5251,0.7296,0.8479
Israel-2020,1.0858,1.7574,4.3923,6.9586,0.408,0.5924,0.7159
Israel-2021,1.2003,1.9639,4.3963,6.3263,0.3305,0.4357,0.6793
Italy-2013,0.4115,0.4898,0.702,1,117.7351,196.0579,242.1779
Italy-2014,0.436,0.4986,0.9477,1,62.3229,96.1641,141.0494
Japan-2013,0.2832,0.3784,0.6036,1,40.5874,53.2731,78.6569
Japan-2014,0.3719,0.5684,0.9941,1.0356,19.7215,28.3072,41.035
Japan-2015,0.468,0.565,0.9444,1,6.8876,11.3616,12.8422
Japan-2016,0.5233,0.7726,1.1747,2.241,2.0609,2.8514,3.898
Japan-2017,0.4805,0.7313,0.9521,1.416,2.4712,3.9296,4.9478
Japan-2018,0.5518,0.7265,1.0657,1.8337,2.4709,2.9536,3.5978
Japan-2019,0.552,0.6538,1.0187,1.6166,1.2429,1.695,2.1646
Japan-2020,0.4369,0.5875,1.0079,1.5422,1.0792,1.2942,1.8739
Japan-2021,0.4812,0.5838,0.9549,1.4061,1.7113,2.2699,3.0535
Luxembourg-2016,2.5882,2.8025,2.9739,3.0168,27919.1763,34738.6717,43421.3566
Luxembourg-2017,2.6838,3.2022,3.6169,3.7206,1,1,1
Luxembourg-2018,2.5507,2.8311,3.3014,3.4189,1,1,1
Luxembourg-2019,2.2353,2.4988,2.8809,2.9765,1.3505,1.3505,1.3505
Luxembourg-2020,1.8029,1.9865,2.3435,2.4327,1,1,1
Luxembourg-2021,1.5121,1.6661,1.9655,2.0403,1.4922,1.5075,1.5075
Malaysia-2014,0.5346,0.6528,0.9306,1,669.4849,783.7315,845.6964
Malaysia-2015,0.6239,0.6701,0.9736,1,54.1986,62.7592,67.9606
Malaysia-2016,0.6994,0.8593,1.0457,1.0662,113.8889,143.8179,152.2498
Malaysia-2018,0.6116,0.786,1.0628,1.1611,6.8,7.8108,8.4236
Malaysia-2020,0.5053,0.5304,0.7974,1,7.845,9.036,9.7017
