modelo,Country_Year,Country,Year,zero_inv,esc_contemp,esc_seq,esc_uniao,esc_global,tgr,tgr_uniao,convexificacao
C,Chile-2014,Chile,2014,FALSE,0.0422,0.0422,0.033,0.014,0.3308,0.7822,2.3648
C,Chile-2015,Chile,2015,TRUE,0.3511,0.1913,0.1913,0.1913,0.5447,0.5447,1
C,Chile-2017,Chile,2017,FALSE,0.0637,0.0296,0.0216,0.0133,0.2094,0.3383,1.6158
C,Chile-2018,Chile,2018,FALSE,0.0146,0.0146,0.0127,0.0067,0.4582,0.8726,1.9044
C,Chile-2019,Chile,2019,FALSE,0.0128,0.0114,0.0126,0.0072,0.5661,0.9861,1.7421
C,China-2013,China,2013,FALSE,1,1,1,1,1,1,1
C,China-2014,China,2014,FALSE,1,1,0.213,0.2015,0.2015,0.213,1.0572
C,China-2015,China,2015,FALSE,1,1,0.3584,0.3373,0.3373,0.3584,1.0626
C,China-2016,China,2016,FALSE,1,1,0.2655,0.265,0.265,0.2655,1.0017
C,China-2017,China,2017,FALSE,1,1,0.4352,0.4344,0.4344,0.4352,1.0019
C,China-2018,China,2018,FALSE,1,1,0.6181,0.6176,0.6176,0.6181,1.0007
C,China-2019,China,2019,FALSE,1,1,0.8546,0.8508,0.8508,0.8546,1.0044
C,China-2020,China,2020,FALSE,1,1,1,1,1,1,1
C,China-2021,China,2021,FALSE,1,1,1,1,1,1,1
C,Colombia-2015,Colombia,2015,TRUE,0.1756,0.0956,0.0956,0.0956,0.5447,0.5447,1
C,Colombia-2017,Colombia,2017,FALSE,0.286,0.081,0.0891,0.0694,0.2427,0.3115,1.2834
C,Colombia-2019,Colombia,2019,FALSE,0.064,0.0357,0.0618,0.0324,0.5059,0.9665,1.9107
C,Croatia-2015,Croatia,2015,TRUE,1,1,0.3017,0.0977,0.0977,0.3017,3.0893
C,Croatia-2018,Croatia,2018,FALSE,0.0877,0.0806,0.0672,0.0429,0.4892,0.7662,1.5662
C,Croatia-2019,Croatia,2019,FALSE,0.0692,0.0323,0.0586,0.0288,0.4161,0.846,2.0334
C,France-2013,France,2013,FALSE,0.0826,0.0826,0.0749,0.0506,0.6123,0.9077,1.4824
C,France-2014,France,2014,FALSE,0.0666,0.0666,0.0065,0.0064,0.0961,0.0976,1.0161
C,France-2015,France,2015,FALSE,0.0474,0.0465,0.0135,0.0129,0.2714,0.2851,1.0503
C,France-2016,France,2016,FALSE,0.0582,0.0547,0.0127,0.0126,0.2174,0.2187,1.0063
C,France-2017,France,2017,FALSE,0.0424,0.0422,0.018,0.0177,0.4167,0.423,1.0151
C,France-2018,France,2018,FALSE,0.0494,0.0492,0.0306,0.0302,0.6105,0.6188,1.0135
C,Greece-2014,Greece,2014,FALSE,0.0309,0.0309,0.0034,0.0033,0.1065,0.11,1.033
C,Greece-2015,Greece,2015,TRUE,0.1756,0.0956,0.0956,0.0956,0.5447,0.5447,1
C,Greece-2016,Greece,2016,FALSE,0.1245,0.0872,0.0535,0.0366,0.2941,0.4301,1.4623
C,Greece-2017,Greece,2017,FALSE,0.1359,0.1278,0.0375,0.0361,0.2659,0.2757,1.0368
C,Greece-2018,Greece,2018,FALSE,0.3046,0.2029,0.3046,0.2029,0.6662,1,1.5011
C,Greece-2019,Greece,2019,FALSE,0.0504,0.0307,0.0403,0.0285,0.5655,0.8003,1.4152
C,Greece-2020,Greece,2020,FALSE,0.046,0.0337,0.046,0.0337,0.7333,1,1.3637
C,Greece-2021,Greece,2021,FALSE,0.0338,0.0191,0.0209,0.0191,0.5661,0.6195,1.0944
C,Hungary-2013,Hungary,2013,TRUE,0.1819,0.1819,0.0957,0.0957,0.526,0.526,1
C,Hungary-2014,Hungary,2014,FALSE,0.0336,0.0316,0.0315,0.0157,0.4672,0.939,2.01
C,Hungary-2015,Hungary,2015,FALSE,0.2878,0.2086,0.0643,0.0376,0.1306,0.2234,1.7111
C,Hungary-2016,Hungary,2016,FALSE,0.2017,0.1212,0.067,0.0472,0.234,0.3319,1.4184
C,Hungary-2017,Hungary,2017,FALSE,0.5261,0.1707,0.2289,0.1481,0.2814,0.4351,1.5462
C,Hungary-2018,Hungary,2018,FALSE,0.022,0.02,0.0151,0.0098,0.4471,0.6844,1.5309
