Country_Year,Country,Year,income,regiao,zero_inv,pop_mi,manuf_pib,manuf_exp,fdh_S,ccr_S,bcc_S,fdh_T,ccr_T,bcc_T,fdh_ST,ccr_ST,bcc_ST,fdh_C,ccr_C,bcc_C,se_S,se_T,se_ST,bcc_S_int,bcc_T_int,bcc_C_int,bcc_S_semzeros,bcc_T_semzeros,bcc_C_semzeros,classe,topsis,sw_S,sw_T,sw_C
Singapore-2017,Singapore,2017,Alta,East Asia and Pacific,FALSE,5.6123,18.4783,74.0906,0.7806,0.2341,0.3302,1,0.0835,0.0859,1,0.2952,0.3823,1,0.0835,0.0859,0.7091,0.9723,0.772,1,0.3983,0.3983,0.3302,0.0862,0.0862,1,0.4877,0.2803,0.0651,0.0629
Singapore-2018,Singapore,2018,Alta,East Asia and Pacific,FALSE,5.6387,20.6144,72.9437,0.9245,0.2811,0.3794,1,0.1468,0.1529,1,0.3962,0.4729,1,0.1468,0.1529,0.741,0.9601,0.8378,1,0.5996,0.5996,0.3794,0.1534,0.1534,1,0.4869,0.3413,0.116,0.1123
Singapore-2019,Singapore,2019,Alta,East Asia and Pacific,FALSE,5.7036,19.3067,74.1911,1,0.3142,0.4086,0.7552,0.105,0.1091,1,0.3942,0.4727,0.7552,0.105,0.1091,0.7689,0.9623,0.834,1,0.4462,0.4462,0.4086,0.1095,0.1095,1,0.4857,0.3702,0.0827,0.0801
Slovenia-2018,Slovenia,2018,Alta,Europe and Central Asia,TRUE,2.0739,20.4062,83.9378,0.6797,0.3113,0.3129,0.1917,0.1911,0.1917,1,0.3882,0.3882,0.1917,0.1911,0.1917,NA,NA,NA,0.98,0.4779,0.4779,NA,NA,NA,2,0.4869,0.2383,0.1498,0.1378
South Africa-2014,South Africa,2014,Média-alta,Sub-Saharan Africa,TRUE,55.5949,12.4807,45.7884,0.2956,0.2094,0.2094,0.1434,0.1408,0.1434,0.6031,0.2442,0.2442,0.1434,0.1408,0.1434,NA,NA,NA,1,1,1,NA,NA,NA,2,0.4868,0.1517,0.1192,0.1074
South Africa-2016,South Africa,2016,Média-alta,Sub-Saharan Africa,FALSE,57.2596,12.4836,47.7084,0.2726,0.1075,0.15,0.1434,0.0073,0.0073,0.2806,0.1096,0.15,0.1434,0.0085,0.0134,0.7168,0.9927,0.7303,0.0441,0.0071,0.0113,0.15,0.0076,0.0148,2,0.4867,0.1335,0.0056,0.0108
South Africa-2017,South Africa,2017,Média-alta,Sub-Saharan Africa,FALSE,57.6351,12.5127,44.0297,0.2899,0.1112,0.1496,0.1434,0.0059,0.0064,0.2985,0.1131,0.1504,0.1434,0.008,0.0122,0.7431,0.9263,0.7516,0.044,0.0055,0.0104,0.1496,0.0065,0.0133,2,0.4867,0.1327,0.0049,0.0098
South Africa-2018,South Africa,2018,Média-alta,Sub-Saharan Africa,FALSE,58.6131,12.457,43.4558,0.3601,0.1465,0.1933,0.1913,0.0087,0.0095,0.3601,0.1495,0.1947,0.1913,0.0088,0.0124,0.7579,0.919,0.7677,0.0588,0.0082,0.0109,0.1933,0.0095,0.0132,2,0.4868,0.1714,0.0073,0.0096
South Africa-2019,South Africa,2019,Média-alta,Sub-Saharan Africa,FALSE,59.588,12.4009,42.9742,0.4441,0.2017,0.2462,0.0478,0.0021,0.0023,0.4441,0.2017,0.2462,0.0478,0.0021,0.0025,0.8195,0.886,0.8195,0.068,0.0012,0.0021,0.2462,0.0024,0.0027,2,0.4867,0.2208,0.0018,0.0018
South Africa-2020,South Africa,2020,Média-alta,Sub-Saharan Africa,FALSE,60.5623,11.725,38.388,0.6273,0.3091,0.3764,0.2869,0.014,0.0153,0.6273,0.3136,0.3798,0.2869,0.014,0.0153,0.821,0.9129,0.8258,0.1092,0.0095,0.0095,0.3764,0.0155,0.0155,2,0.4871,0.3322,0.0118,0.0113
Spain-2013,Spain,2013,Alta,Europe and Central Asia,FALSE,46.6202,10.8663,67.7419,1,0.1711,0.5266,0.2105,0.0279,0.0412,1,0.1742,0.5266,0.2105,0.0285,0.0412,0.325,0.6787,0.3308,0.2809,0.0442,0.0442,0.5276,0.0412,0.0412,1,0.4883,0.4266,0.0335,0.0334
Spain-2014,Spain,2014,Alta,Europe and Central Asia,FALSE,46.4811,10.9976,67.7493,0.5453,0.1789,0.5071,0.3061,0.0357,0.0483,0.5896,0.1835,0.5071,0.3061,0.0357,0.0483,0.3527,0.7395,0.3619,0.2855,0.0517,0.0517,0.5071,0.0483,0.0483,1,0.4884,0.4153,0.0397,0.0395
Spain-2015,Spain,2015,Alta,Europe and Central Asia,FALSE,46.4446,11.0138,70.4263,1,0.2023,0.6993,0.3539,0.0525,0.0851,1,0.2128,0.6993,0.3539,0.0525,0.0851,0.2892,0.6172,0.3043,0.3483,0.093,0.093,0.7065,0.0851,0.0851,1,0.4889,0.5725,0.0687,0.0686
Spain-2016,Spain,2016,Alta,Europe and Central Asia,FALSE,46.4842,10.9528,71.6931,0.5557,0.1776,0.4251,0.4737,0.0365,0.0419,0.921,0.1866,0.4266,0.4737,0.0365,0.0419,0.4178,0.8712,0.4373,0.2782,0.0474,0.0474,0.4251,0.0419,0.0419,1,0.4884,0.3526,0.034,0.0337
Spain-2017,Spain,2017,Alta,Europe and Central Asia,FALSE,46.5934,11.1146,69.7654,0.6296,0.1924,0.4768,0.4923,0.0374,0.0434,0.9573,0.2009,0.4768,0.4923,0.0374,0.0434,0.4035,0.8619,0.4213,0.3097,0.0485,0.0485,0.4768,0.0434,0.0434,1,0.4887,0.396,0.0353,0.035
Spain-2018,Spain,2018,Alta,Europe and Central Asia,FALSE,46.7977,10.7886,67.354,0.6664,0.1938,0.5159,0.4637,0.0371,0.0446,0.9017,0.201,0.5159,0.4637,0.0371,0.0446,0.3756,0.8316,0.3895,0.3237,0.0477,0.0477,0.5159,0.0446,0.0446,1,0.4889,0.4289,0.0365,0.0362
Spain-2019,Spain,2019,Alta,Europe and Central Asia,FALSE,47.1348,10.6967,66.6503,0.4564,0.2206,0.4461,0.293,0.0201,0.021,0.4564,0.2263,0.4461,0.4112,0.0201,0.021,0.4945,0.9577,0.5072,0.3445,0.0335,0.0335,0.4461,0.021,0.021,1,0.4892,0.3646,0.0165,0.0164
Spain-2020,Spain,2020,Alta,Europe and Central Asia,FALSE,47.3655,10.8532,65.9972,0.5072,0.244,0.4951,0.2675,0.0183,0.0191,0.5072,0.2482,0.4951,0.3753,0.0183,0.0191,0.4928,0.9573,0.5014,0.3811,0.0282,0.0282,0.4951,0.0191,0.0191,1,0.4897,0.4047,0.015,0.015
Spain-2021,Spain,2021,Alta,Europe and Central Asia,FALSE,47.4156,11.2561,64.852,0.5618,0.25,0.4484,0.1719,0.0077,0.0078,0.5618,0.2515,0.4484,0.2413,0.0077,0.0078,0.5575,0.9898,0.5609,0.3869,0.0163,0.0163,0.4484,0.0078,0.0078,1,0.4896,0.3688,0.0059,0.0057
Switzerland-2015,Switzerland,2015,Alta,Europe and Central Asia,FALSE,8.2824,17.8568,68.6635,0.1004,0.0566,0.0983,0.0192,7e-4,7e-4,0.1501,0.0566,0.0983,0.0286,0.002,0.0022,0.5757,0.992,0.5757,0.5146,0.006,0.006,0.0983,7e-4,0.0022,1,0.4851,0.0803,5e-4,0.0018
Ukraine-2013,Ukraine,2013,Média-alta,Europe and Central Asia,TRUE,46.127,11.1406,57.4241,0.3844,0.1996,0.202,0.526,0.5251,0.526,0.9657,0.5653,0.5653,0.526,0.5257,0.526,NA,NA,NA,0.2066,0.6373,0.9535,NA,NA,NA,2,0.4868,0.1594,0.3975,0.3475
Ukraine-2014,Ukraine,2014,Média-alta,Europe and Central Asia,TRUE,43.7014,12.2281,53.5917,0.3733,0.2388,0.2453,1,1,1,1,1,1,1,1,1,NA,NA,NA,0.1861,1,1,NA,NA,NA,2,0.4868,0.2054,0.6981,0.6103
Ukraine-2015,Ukraine,2015,Média-alta,Europe and Central Asia,TRUE,43.4625,11.9028,48.771,0.5543,0.4101,0.4262,1,0.624,0.6915,1,0.8517,0.8786,1,0.624,0.6915,NA,NA,NA,0.2804,0.5817,0.5817,NA,NA,NA,2,0.4869,0.3695,0.5005,0.4679
Ukraine-2016,Ukraine,2016,Média-alta,Europe and Central Asia,TRUE,43.2511,12.2191,46.2425,0.7632,0.6852,0.726,1,0.2486,0.3308,1,0.7885,0.8564,1,0.2486,0.3308,NA,NA,NA,0.4407,0.256,0.256,NA,NA,NA,2,0.4869,0.6473,0.2489,0.2332
Ukraine-2017,Ukraine,2017,Média-alta,Europe and Central Asia,TRUE,43.0408,11.9803,45.3212,1,0.9391,1,0.6315,0.1294,0.1815,1,0.9391,1,0.6315,0.1294,0.1815,NA,NA,NA,0.6198,0.1396,0.1396,NA,NA,NA,2,0.487,0.8816,0.1373,0.1309
Ukraine-2018,Ukraine,2018,Média-alta,Europe and Central Asia,FALSE,42.7881,11.534,47.2421,1,1,1,0.9982,0.1762,0.2189,1,1,1,0.9982,0.1762,0.2189,1,0.8046,1,0.276,0.1219,0.1351,1,0.9175,0.9175,2,0.4871,0.8526,0.1702,0.1669
United Kingdom-2013,United Kingdom,2013,Alta,Europe and Central Asia,FALSE,64.1282,9.5981,58.5143,0.9379,0.0985,0.4583,0.2782,0.0317,0.0466,1,0.1049,0.4583,0.2782,0.0402,0.0481,0.2149,0.6786,0.229,0.3303,0.052,0.052,0.4583,0.0466,0.0484,1,0.4882,0.3704,0.0374,0.0389
