modelo,DMU,cols,sfa,bcc
T,India-2013,0.0388,0.6318,0.0988
T,India-2014,0.0202,0.6024,0.0166
T,India-2015,0.0484,0.641,0.0353
T,India-2016,0.0776,0.6601,0.0742
T,India-2017,0.0863,0.6641,0.0768
T,India-2018,0.079,0.6607,0.073
T,India-2019,0.0037,0.5151,0.0026
T,India-2020,0.0013,0.454,0.0014
T,Indonesia-2013,0.0203,0.6031,0.0301
T,Indonesia-2016,0.0125,0.5795,0.0445
T,Ireland-2016,0.0043,0.5235,0.0027
T,Ireland-2018,0.0039,0.5186,0.0026
T,Israel-2013,0.0066,0.5465,0.0073
T,Israel-2014,0.0042,0.522,0.0052
T,Israel-2015,0.0093,0.5644,0.0067
T,Israel-2016,0.0026,0.4948,0.0019
T,Israel-2017,0.0099,0.5677,0.0072
T,Israel-2018,0.0081,0.557,0.0059
T,Israel-2019,0.0074,0.5522,0.0055
T,Israel-2020,0.0069,0.549,0.0056
T,Israel-2021,0.0059,0.5401,0.0052
T,Italy-2013,0.0047,0.5289,0.0431
T,Italy-2014,0.0026,0.4953,0.0188
T,Japan-2013,0.0249,0.6121,0.5078
T,Japan-2014,0.0324,0.6239,0.4318
T,Japan-2015,0.0414,0.6344,0.3058
T,Japan-2016,0.0662,0.6537,0.2005
T,Japan-2017,0.116,0.6752,0.4391
T,Japan-2018,0.1636,0.6875,0.4996
T,Japan-2019,0.1812,0.691,0.3635
T,Japan-2020,0.1811,0.691,0.2926
T,Japan-2021,0.1309,0.6796,0.3328
T,Luxembourg-2016,0.0427,0.6362,0.0954
T,Luxembourg-2017,0.0555,0.647,0.1041
T,Luxembourg-2018,0.1381,0.6818,0.1347
T,Luxembourg-2019,0.1539,0.6857,0.1759
T,Luxembourg-2020,0.1251,0.6781,0.1268
T,Luxembourg-2021,0.3778,0.7151,0.3578
T,Malaysia-2014,0.0484,0.6414,0.4782
T,Malaysia-2015,0.0584,0.649,0.2277
T,Malaysia-2016,0.0315,0.6228,0.193
T,Malaysia-2018,0.0234,0.6095,0.0251
T,Malaysia-2020,0.0059,0.5403,0.0063
T,Mexico-2013,0.0978,0.6692,0.7837
T,Mexico-2014,0.0572,0.6481,0.3911
T,Mexico-2015,0.107,0.6725,0.4266
T,Mexico-2016,0.1543,0.6857,0.5278
T,Mexico-2017,0.1732,0.6897,0.3103
T,Mexico-2018,0.2818,0.7059,1
T,Mexico-2019,0.2388,0.7005,0.1534
T,Mexico-2020,0.2889,0.7067,0.3592
T,Mexico-2021,0.0181,0.5972,0.0112
T,Netherlands-2013,0.0015,0.4616,0.012
T,Netherlands-2014,6e-4,0.4112,0.0034
T,Netherlands-2015,0.0023,0.4873,0.0024
T,Netherlands-2016,0.0024,0.49,0.0017
T,Netherlands-2017,0.0019,0.4782,0.0015
T,Norway-2013,0.0022,0.4852,0.0144
T,Norway-2014,0.0029,0.5019,0.0051
T,Norway-2016,0.0042,0.5227,0.0188
T,Norway-2017,0.0021,0.4817,0.0025
T,Norway-2018,0.0067,0.5476,0.0124
T,Norway-2019,0.0044,0.5246,0.0031
T,Peru-2018,0.1887,0.6928,1
T,Peru-2019,0.1293,0.6795,0.267
T,Peru-2020,0.4746,0.7221,0.7449
T,Peru-2021,0.0485,0.6415,0.1104
T,Philippines-2018,0.022,0.6066,0.0448
T,Poland-2013,0.0212,0.6048,0.1133
T,Poland-2014,0.0212,0.6048,0.0697
T,Poland-2015,0.037,0.6298,0.0495
T,Poland-2016,0.0308,0.6218,0.0745
T,Poland-2017,0.0171,0.5948,0.0232
T,Poland-2018,0.0291,0.6192,0.0771
T,Poland-2019,0.0148,0.5875,0.0184
T,Poland-2020,0.0085,0.5596,0.0083
T,Poland-2021,0.0058,0.54,0.0078
T,Portugal-2014,0.0046,0.5268,0.0099
T,Portugal-2015,0.0209,0.6041,0.0266
T,Portugal-2016,0.042,0.6353,0.0737
T,Portugal-2017,0.0168,0.5938,0.0108
T,Portugal-2018,0.0304,0.6212,0.0188
T,Romania-2016,0.0326,0.6245,0.0668
T,Romania-2017,0.0851,0.664,0.2379
T,Romania-2018,0.0817,0.6624,0.2376
T,Romania-2019,0.0714,0.6571,0.1074
T,Romania-2020,0.114,0.67490000000000006,0.1648
T,Romania-2021,0.1092,0.6732,0.0707
T,Singapore-2013,0.0483,0.6411,0.1093
T,Singapore-2014,0.0498,0.6423,0.0476
T,Singapore-2015,0.0358,0.6282,0.0234
T,Singapore-2016,0.0619,0.6512,0.0428
T,Singapore-2017,0.132,0.68,0.0859
T,Singapore-2018,0.2026,0.6949,0.1529
T,Singapore-2019,0.1332,0.6803,0.1091
T,Slovenia-2018,0.0731,0.6581,0.1917
T,South Africa-2014,0.0215,0.6057,0.1434
T,South Africa-2016,0.0105,0.5708,0.0073
T,South Africa-2017,0.0099,0.5675,0.0064
T,South Africa-2018,0.0145,0.5869,0.0095
T,South Africa-2019,0.0035,0.5119,0.0023
T,South Africa-2020,0.0253,0.6129,0.0153
T,Spain-2013,0.014,0.5849,0.0412
T,Spain-2014,0.0199,0.6017,0.0483
T,Spain-2015,0.0241,0.6106,0.0851
T,Spain-2016,0.0277,0.6169,0.0419
T,Spain-2017,0.0275,0.6167,0.0434
T,Spain-2018,0.025,0.61240000000000006,0.0446
T,Spain-2019,0.0207,0.6036,0.021
T,Spain-2020,0.0188,0.5991,0.0191
T,Spain-2021,0.0103,0.5696,0.0078
T,Switzerland-2015,9e-4,0.4344,7e-4
T,Ukraine-2013,0.2288,0.6993,0.526
T,Ukraine-2014,0.5431,0.726,1
T,Ukraine-2015,0.3459,0.7125,0.6915
T,Ukraine-2016,0.1424,0.683,0.3308
T,Ukraine-2017,0.0748,0.659,0.1815
T,Ukraine-2018,0.1186,0.6764,0.2189
T,United Kingdom-2013,0.0143,0.5859,0.0466
T,United Kingdom-2014,0.0072,0.551,0.0107
T,United Kingdom-2021,0.0249,0.6118,0.0215
T,United States-2013,0.0244,0.6108,0.0404
T,United States-2014,0.0269,0.6154,0.0371
T,United States-2015,0.0351,0.6271,0.0472
T,United States-2016,0.0517,0.6435,0.0715
T,United States-2017,0.0782,0.6601,0.1139
T,United States-2018,0.0902,0.6656,0.1529
T,United States-2019,0.0791,0.6605,0.1594
T,United States-2020,0.0709,0.6562,0.1463
T,United States-2021,0.0344,0.6262,0.0821
