DMU,bcc_ST,peers
Slovenia-2018,0.3881642722953123,Malaysia-2014; Romania-2018; Ukraine-2014
South Africa-2014,0.24420194529869346,Malaysia-2014; Romania-2018; Ukraine-2014
South Africa-2016,0.1500485275664097,China-2020; India-2016; India-2019; Romania-2020
South Africa-2017,0.1504123445383647,China-2020; India-2016; India-2019; Romania-2020
South Africa-2018,0.19474367582968793,China-2020; India-2016; India-2019; Romania-2020
South Africa-2019,0.2461662980144567,India-2019; India-2020; Romania-2020
South Africa-2020,0.3798206931558675,China-2021; India-2019; India-2020; Romania-2020
Spain-2013,0.5265987331100805,China-2013; India-2013; Malaysia-2014
Spain-2014,0.5071196459644193,China-2013; India-2013; India-2016
Spain-2015,0.6993457728866187,China-2013; India-2013; Malaysia-2014
Spain-2016,0.4265718407798618,China-2013; China-2020; India-2013; India-2016
Spain-2017,0.4767790854476357,China-2013; India-2013; India-2016
Spain-2018,0.5159413913624057,China-2013; India-2013; India-2016
Spain-2019,0.4461166183295378,China-2013; India-2016; India-2019
Spain-2020,0.4950696369673036,China-2013; India-2016; India-2019
Spain-2021,0.4483623938375615,China-2013; India-2016; India-2019
Switzerland-2015,0.098301693605335,China-2013; China-2019; India-2019
Ukraine-2013,0.5652751390242905,Malaysia-2014; Romania-2018; Ukraine-2014
Ukraine-2014,1,Ukraine-2014
Ukraine-2015,0.8785773323524205,Peru-2018; Ukraine-2014; Ukraine-2017
Ukraine-2016,0.8564289693000688,Peru-2018; Ukraine-2014; Ukraine-2017
Ukraine-2017,1,Ukraine-2017
Ukraine-2018,1,Ukraine-2018
United Kingdom-2013,0.4582787517637733,China-2013; India-2013; India-2016
United Kingdom-2014,0.31747221376204077,China-2013; China-2019; India-2019
United Kingdom-2021,0.5510667459948104,China-2021; India-2019; India-2020
United States-2013,0.32968174790146476,China-2019; China-2020
United States-2014,0.2773375252357121,China-2020; China-2021
United States-2015,0.2651305169610327,China-2020; China-2021
United States-2016,0.2755895309665714,China-2021
United States-2017,0.3167660015548071,China-2021
United States-2018,0.39537444933920707,China-2021
United States-2019,0.49945581756931834,China-2021
United States-2020,0.5874838040943248,China-2021
United States-2021,0.6386239958538477,China-2021
